available_ingredients,recipe_name,recipe_ingredients,instructions,
"Rice, Toor Dal, Tamarind, Sambar Powder, Mustard Seeds, Curry Leaves",Sambar,"Toor dal, tamarind, vegetables (drumstick, carrot, brinjal), sambar powder, mustard seeds, curry leaves, dried red chilies, turmeric, salt","Cook dal until soft. Sauté mustard seeds, curry leaves, and red chilies. Add chopped vegetables, tamarind water, and sambar powder. Simmer and mix with cooked dal. Boil for 5 minutes.",
"Urad Dal, Raw Rice, Fenugreek Seeds, Salt",idli,"Urad dal, rice, fenugreek seeds, salt","Soak dal and rice separately, grind them into a batter, and ferment overnight. Steam in idli molds for 10 minutes.",
"Urad Dal, Raw Rice, Fenugreek Seeds, Salt",Dosa,"Urad dal, rice, fenugreek seeds, salt","Prepare batter like idli. Spread thin on a hot pan, cook until crispy. Serve with chutney.",
"Rice, Tamarind, Curry Leaves, Red Chilies, Mustard Seeds",Puliyodarai (Tamarind Rice),"Cooked rice, tamarind paste, mustard seeds, red chilies, curry leaves, turmeric, jaggery, salt","Sauté mustard seeds, red chilies, curry leaves. Add tamarind paste, turmeric, jaggery, salt. Mix with cooked rice",
"Rice, Curd, Green Chilies, Ginger, Mustard Seeds",Thayir Sadam (Curd Rice),"Cooked rice, curd, green chilies, ginger, mustard seeds, curry leaves, salt","Mix rice with curd. Temper mustard seeds, chilies, and curry leaves. Combine and serve.",
"Rice, Tomato, Onion, Green Chilies",Tomato Rice,"Cooked rice, tomatoes, onion, chilies, mustard seeds, curry leaves, turmeric, garam masala","Sauté onions, chilies, tomatoes, and spices. Mix with rice and cook for a few minutes.",
"Rice, Lemon, Green Chilies, Mustard Seeds",Lemon Rice,"Cooked rice, lemon juice, green chilies, mustard seeds, turmeric, salt",Sauté mustard seeds and chilies. Add lemon juice and mix with cooked rice.,
"Rice Flour, Jaggery, Coconut, Cardamom",Kozhukattai (Sweet Dumplings),"Rice flour, jaggery, grated coconut, cardamom, water","Make jaggery-coconut filling. Prepare rice flour dough, shape dumplings, steam them.",
"Besan Flour, Rice Flour, Green Chilies, Curry Leaves",Pakoda,"Besan flour, rice flour, green chilies, curry leaves, salt, oil",Mix flours with water and spices. Deep-fry until crispy.,
"Besan Flour, Rice Flour, Onion, Green Chilies",Onion Bajji,"Besan flour, rice flour, onion slices, green chilies, salt",Dip onion slices in batter and deep-fry.,
"Moong Dal, Jaggery, Cardamom, Coconut",Paal Payasam,"Moong dal, jaggery, milk, cardamom, coconut","Cook dal with milk, add jaggery, cardamom, and coconut. Simmer until thick.",
"Rice, Urad Dal, Pepper, Cumin Seeds",Ven Pongal,"Cooked rice and dal, black pepper, cumin, curry leaves, ghee","Fry pepper, cumin, and curry leaves in ghee. Mix with cooked rice and dal",
"Tamarind, Turmeric, Curry Leaves, Garlic, Pepper",Rasam,"Tamarind extract, tomatoes, pepper, cumin, garlic, mustard seeds, curry leaves",Boil tamarind with spices. Add tempered mustard seeds and curry leaves. Serve hot.,
"Rice, Coconut, Green Chilies, Mustard Seeds",Coconut Rice,"Cooked rice, grated coconut, green chilies, mustard seeds, curry leaves","Sauté mustard seeds, chilies, and coconut. Mix with rice.",
"Rice, Vegetables, Whole Spices",Vegetable Biryani,"Rice, mixed vegetables, whole spices (cloves, cardamom, cinnamon), yogurt, garam masala","Sauté spices, add vegetables and rice. Cook with water until done",
"Black Gram, Garlic, Coconut Milk",Karuppu Ulundu Kanji,"Black gram, garlic, coconut milk, salt","Cook black gram until soft, mix with coconut milk and salt. Serve warm.",
"Bengal Gram, Jaggery, Coconut",Puran Poli,"Bengal gram, jaggery, coconut, flour, cardamom","Make a sweet filling with jaggery and gram, stuff into dough, and roll into rotis. Cook on a tawa.",
"Rice, Jaggery, Ghee",Sakkarai Pongal,"Rice, jaggery, ghee, cardamom, cashews",Cook rice with jaggery and ghee. Garnish with cashews.,
"Banana, Jaggery, Rice Flour",Appam,"Banana, jaggery, rice flour, cardamom","Mix ingredients into a batter, pour in small molds, and deep-fry.",
"Brinjal, Tamarind, Spice Mix",Kathirikai Kuzhambu,"Brinjal, tamarind, red chili powder, mustard seeds, curry leaves","Sauté brinjal, add tamarind extract, and cook with spices. Serve hot.",
